Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1622,Lion: 8530,IR-SAT Tag,72,3/3/2025 18:39,Every 2 hours,-3.523170°,38.103650°,(-),<10 meters,0 km/h,3.65 Volt,31°C,(-),Y,"[7288,-7752,11787]",N,0,Y,1
1623,Lion: 8529,IR-SAT Tag,72,3/3/2025 18:46,Every 2 hours,-3.542673°,38.236533°,(-),10 meters,0 km/h,3.64 Volt,32°C,(-),Y,"[-14932,-138,-5947]",N,0,Y,0
1624,Lion: 8528,IR-SAT Tag,72,3/3/2025 19:00,Every 2 hours,-3.650263°,38.241842°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[2269,20,3907]",N,0,N,2
1625,Lion: 8531,IR-SAT Tag,72,3/3/2025 20:24,Every 2 hours,-3.660313°,38.106412°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[2066,-6538,14099]",N,0,Y,0
1626,Lion: 8530,IR-SAT Tag,72,3/3/2025 20:39,Every 2 hours,-3.523887°,38.103378°,(-),<10 meters,0 km/h,3.65 Volt,32°C,(-),Y,"[-10604,917,11456]",N,0,Y,0
1627,Lion: 8529,IR-SAT Tag,72,3/3/2025 20:46,Every 2 hours,-3.541577°,38.233427°,(-),10 meters,0 km/h,3.64 Volt,29°C,(-),Y,"[-12242,340,10322]",N,0,Y,0
1628,Lion: 8528,IR-SAT Tag,72,3/3/2025 21:00,Every 2 hours,-3.647232°,38.241520°,(-),<10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[15906,-755,-2918]",N,0,N,2
1629,Lion: 8531,IR-SAT Tag,72,3/3/2025 22:25,Every 2 hours,-3.660442°,38.105148°,(-),10 meters,0 km/h,3.69 Volt,35°C,(-),Y,"[-15397,-223,2465]",N,0,Y,1
1630,Lion: 8530,IR-SAT Tag,72,3/3/2025 22:40,Every 2 hours,-3.523685°,38.103473°,(-),<10 meters,0 km/h,3.65 Volt,41°C,(-),Y,"[16349,-1218,-2583]",N,0,Y,0
1631,Lion: 8529,IR-SAT Tag,72,3/3/2025 22:47,Every 2 hours,-3.541538°,38.233562°,(-),10 meters,0 km/h,3.64 Volt,33°C,(-),Y,"[16004,1659,821]",N,0,Y,0
1632,Lion: 8528,IR-SAT Tag,72,3/3/2025 23:00,Every 2 hours,-3.647298°,38.241717°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[6560,-7965,11364]",N,0,Y,0
1633,Lion: 8531,IR-SAT Tag,72,3/4/2025 0:25,Every 2 hours,-3.660457°,38.105268°,(-),<10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[-1874,-4421,14754]",N,0,N,4
1634,Lion: 8530,IR-SAT Tag,72,3/4/2025 0:40,Every 2 hours,-3.523668°,38.103145°,(-),10 meters,0 km/h,3.65 Volt,40°C,(-),Y,"[-11607,-1232,10249]",N,0,Y,0
1635,Lion: 8529,IR-SAT Tag,72,3/4/2025 0:48,Every 2 hours,-3.541605°,38.233557°,(-),<10 meters,0 km/h,3.64 Volt,41°C,(-),Y,"[15634,-3130,-1224]",N,0,N,3
1636,Lion: 8528,IR-SAT Tag,72,3/4/2025 1:06,Every 2 hours,-3.645813°,38.240558°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[-10553,698,11351]",N,0,Y,0
1637,Lion: 8531,IR-SAT Tag,72,3/4/2025 2:26,Every 2 hours,-3.660477°,38.105225°,(-),<10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[6199,2535,14522]",N,0,Y,0
1638,Lion: 8530,IR-SAT Tag,72,3/4/2025 2:41,Every 2 hours,-3.523620°,38.103167°,(-),10 meters,0 km/h,3.65 Volt,44°C,(-),Y,"[5004,590,15228]",N,0,Y,0
1639,Lion: 8529,IR-SAT Tag,72,3/4/2025 2:49,Every 2 hours,-3.541775°,38.233338°,(-),10 meters,0 km/h,3.64 Volt,42°C,(-),Y,"[8121,4494,-13190]",N,0,N,2
1640,Lion: 8528,IR-SAT Tag,72,3/4/2025 3:00,Every 2 hours,-3.645845°,38.240668°,(-),10 meters,0 km/h,3.69 Volt,45°C,(-),Y,"[12540,-793,-10060]",N,0,N,2
